detector,descriptor,keypoints,detector-duration,descriptor-duration,matches
akaze,brief,1351,68.8715,0.350772,159
akaze,brief,1360,50.6814,0.342548,154
akaze,brief,1347,69.5099,0.329271,162
akaze,brief,1363,65.8145,0.371536,163
akaze,brief,1331,63.9087,0.339888,173
akaze,brief,1357,50.0181,0.375122,175
akaze,brief,1331,69.2057,0.669887,175
brisk,brief,2777,23.3667,0.516745,254
brisk,brief,2741,18.566,0.401283,274
brisk,brief,2735,17.7009,0.41243,276
brisk,brief,2757,18.1198,0.43303,275
brisk,brief,2695,17.7492,0.427229,293
brisk,brief,2715,17.4951,0.40926,275
brisk,brief,2628,17.374,0.407506,289
brisk,brief,2639,17.68,0.379723,268
brisk,brief,2672,17.6593,0.422373,260
shitomasi,brisk,1301,9.34704,0.685567,127
shitomasi,brisk,1361,20.3335,0.767988,120
shitomasi,brisk,1358,7.12983,1.17118,123
shitomasi,brisk,1333,9.62163,0.667627,120
shitomasi,brisk,1284,8.92523,0.660182,120
shitomasi,brisk,1322,8.71802,0.653306,115
shitomasi,brisk,1366,11.3665,0.70143,114
shitomasi,brisk,1389,8.14535,0.667579,125
shitomasi,brisk,1339,9.3863,0.661789,112
akaze,freak,1327,77.1814,14.832,162
akaze,freak,1311,69.7541,13.7223,157
akaze,freak,1351,63.7978,14.2162,159
akaze,freak,1360,65.0879,14.5638,154
akaze,freak,1347,65.272,13.3267,162
akaze,freak,1363,46.73,14.0377,163
akaze,freak,1331,66.3777,13.4797,173
akaze,freak,1357,52.5269,14.221,175
akaze,freak,1331,67.0801,13.6536,175
fast,brisk,4952,0.869056,2.2615,420
fast,brisk,4863,2.66525,2.16148,431
fast,brisk,4840,0.801356,1.867,408
fast,brisk,4856,1.64667,1.75309,430
fast,brisk,4899,1.27485,1.8362,389
fast,brisk,4870,1.46698,1.91843,417
fast,brisk,4868,0.8163,1.80572,422
fast,brisk,4996,1.4782,1.78357,413
fast,brisk,4997,2.40291,1.71766,401
sift,freak,1371,83.4567,13.7122,136
sift,freak,1381,70.2965,12.5681,130
sift,freak,1335,77.3682,13.8024,120
sift,freak,1303,77.2646,14.3426,134
sift,freak,1369,72.7011,14.0964,133
sift,freak,1396,74.6211,13.9345,138
sift,freak,1382,74.8892,12.4376,134
sift,freak,1462,79.8537,14.0735,146
sift,freak,1422,85.3096,13.9297,155
akaze,akaze,1327,60.69,46.5958,162
akaze,akaze,1311,66.4454,44.4811,157
akaze,akaze,1351,51.3581,44.5155,159
akaze,akaze,1360,47.877,44.0422,154
akaze,akaze,1347,50.4859,43.8448,162
akaze,akaze,1363,49.57,44.2075,163
akaze,akaze,1331,50.3607,43.0838,173
akaze,akaze,1357,48.7999,42.8698,175
akaze,akaze,1331,49.0919,44.9361,175
orb,freak,500,3.57961,13.9598,45
orb,freak,500,5.23001,14.689,53
orb,freak,500,6.38457,13.0267,56
orb,freak,500,6.29729,12.7301,65
orb,freak,500,4.47065,14.7977,55
orb,freak,500,5.33753,13.2861,64
orb,freak,500,6.01749,12.4424,66
orb,freak,500,5.77506,12.4501,70
orb,freak,500,6.78588,12.8726,71
akaze,sift,1327,80.1468,16.7878,162
akaze,sift,1311,64.2163,14.692,157
akaze,sift,1351,70.9261,17.0514,159
akaze,sift,1360,66.7742,15.3299,154
akaze,sift,1347,65.7857,16.1774,162
